,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","
Receita
bruta 
total 1 000 R$
",,"Receita
líquida 1 000 R$",,"
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$ 
",,"Consumo
intermediário 1 000 R$",,"Valor bruto
da
produção 1 000 R$",,"Valor
adicionado
(1) 1 000 R$",
35,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",34700326,A,32188415,A,33490808,A,16005537,A,32401283,A,16395747,A
36,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,25700157,A,23844397,A,24462780,A,11054790,A,23907255,A,12852465,A
37,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",5454106,A,5054323,A,5384426,A,2868392,A,5061272,A,2192880,A
38,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",3546063,A,3289695,A,3643602,A,2082355,A,3432756,A,1350402,A
39,42.9,Construção de outras obras de infraestrutura,44209539,A,41157251,A,42662775,A,21050942,A,41900339,A,20849397,A
40,42.91,"Obras portuárias, marítimas e fluviais",3394511,A,3173253,A,3364097,A,1990419,A,3165198,A,1174779,A
41,42.92,Montagem de instalações industriais e de estruturas metálicas,25034102,A,23338552,A,24224550,A,11594958,A,24207824,A,12612866,A
42,42.99,Obras de engenharia civil não especificadas anteriormente,15780926,A,14645446,A,15074128,A,7465565,A,14527317,A,7061752,A
43,43,Serviços especializados para construção,41919667,A,38354342,A,40997161,A,17379258,A,38971891,A,21592629,A
44,43.1,Demolição e preparação do terreno,10659978,A,9801623,A,10552278,A,4706089,A,9991500,A,5285409,A
45,43.11,Demolição e preparação de canteiros de obras,1262391,A,1137380,A,1255835,B,576688,A,1238845,A,662157,B
46,43.12,Perfurações e sondagens,765824,A,686184,A,762292,A,330779,A,685010,A,354231,A
47,43.13,Obras de terraplenagem,8332379,A,7707899,A,8237828,A,3688848,A,7798713,A,4109864,A
48,43.19,Serviços de preparação do terreno não especificados anteriormente,299384,B,270160,B,296323,B,109774,B,268932,B,159157,B
49,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",13193260,A,11931725,A,12654201,A,5110323,A,12091205,A,6980882,A
50,43.21,Instalações elétricas,7036968,A,6432828,A,6865954,A,2685537,A,6497307,A,3811771,A
51,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",4244194,A,3780568,A,3938604,A,1670850,A,3760149,A,2089298,A
52,43.29,Obras de instalações em construções não especificadas anteriormente,1912098,A,1718329,A,1849643,A,753936,A,1833749,A,1079813,A
53,43.3,Obras de acabamento,4080459,A,3730561,A,3954341,A,1575270,A,3763137,A,2187867,A
54,43.30,Obras de acabamento,4080459,A,3730561,A,3954341,A,1575270,A,3763137,A,2187867,A
55,43.9,Outros serviços especializados para construção,13985970,A,12890433,A,13836341,A,5987576,A,13126049,A,7138471,A
56,43.91,Obras de fundações,3538932,A,3262663,A,3489702,A,1404993,A,3257509,A,1852515,A
57,43.99,Serviços especializados para construção não especificados anteriormente,10447038,A,9627770,A,10346639,A,4582583,A,9868540,A,5285956,A
