,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","
Receita
bruta 
total 1 000 R$
",,"Receita
líquida 1 000 R$",,"
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$
",,"Consumo
intermediário 1 000 R$",,"Valor bruto
da
produção 1 000 R$",,"Valor
adicionado
(1) 1 000 R$",
35,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",36054472,A,33188739,A,34619860,A,16804039,A,33197692,A,16393653,A
36,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,27530016,A,25269494,A,26380508,A,12561334,A,25359814,A,12798480,A
37,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",6152005,A,5714249,A,5895409,A,3062033,A,5599859,A,2537826,A
38,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",2372451,A,2204996,A,2343943,A,1180672,A,2238019,A,1057347,A
39,42.9,Construção de outras obras de infraestrutura,25148254,A,23124690,A,25221558,A,11703301,A,23538462,A,11835161,A
40,42.91,"Obras portuárias, marítimas e fluviais",2606145,A,2429246,A,2623469,A,1557747,A,2467194,A,909447,A
41,42.92,Montagem de instalações industriais e de estruturas metálicas,11910187,A,10911790,A,12097733,A,5216102,A,11255756,A,6039654,A
42,42.99,Obras de engenharia civil não especificadas anteriormente,10631922,A,9783654,A,10500356,A,4929452,A,9815512,A,4886060,A
43,43,Serviços especializados para construção,42715498,A,38604447,A,42471121,A,15717612,A,39481331,A,23763720,A
44,43.1,Demolição e preparação do terreno,8416078,A,7685091,A,8343885,A,3651961,A,7778297,A,4126336,A
45,43.11,Demolição e preparação de canteiros de obras,1117790,B,1001224,B,1068480,B,319143,B,931859,B,612716,A
46,43.12,Perfurações e sondagens,782709,A,702141,A,765184,A,303069,A,691056,A,387987,A
47,43.13,Obras de terraplenagem,6253657,A,5747086,A,6271375,A,2928076,A,5927644,A,2999567,A
48,43.19,Serviços de preparação do terreno não especificados anteriormente,261922,B,234640,B,238846,B,101673,B,227738,B,126066,B
49,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",16538802,A,14730950,A,16103845,A,5719760,A,14827988,A,9108229,A
50,43.21,Instalações elétricas,7712848,A,6929630,A,7538701,A,2595943,A,7001834,A,4405891,A
51,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",4473377,A,3985558,A,4197993,A,1501300,A,3923383,A,2422083,A
52,43.29,Obras de instalações em construções não especificadas anteriormente,4352577,A,3815762,A,4367151,A,1622517,A,3902771,A,2280255,A
53,43.3,Obras de acabamento,3790996,A,3433625,A,3820345,A,1080286,B,3573545,A,2493258,A
54,43.30,Obras de acabamento,3790996,A,3433625,A,3820345,A,1080286,B,3573545,A,2493258,A
55,43.9,Outros serviços especializados para construção,13969622,A,12754781,A,14203046,A,5265605,A,13301501,A,8035897,A
56,43.91,Obras de fundações,2936482,A,2684366,A,2900093,A,1107003,A,2697864,A,1590862,A
57,43.99,Serviços especializados para construção não especificados anteriormente,11033140,A,10070415,A,11302953,A,4158602,A,10603637,A,6445035,A
