,"Códigos
da
CNAE
2.0","Divisões, grupos de atividades
e
faixas de pessoal ocupado","Receita
bruta
total 1 000 R$
","Receita
líquida 1 000 R$","
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
46,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por duto",37766494,34739863,36220349,17355225,34687868,17332642
47,,De   5 a 29,1991840,1809859,1929250,686397,1816297,1129900
48,,De  30 a 49,996659,904914,947341,340288,876310,536022
49,,De  50 a 99,2237004,2057699,2691513,1316717,2581487,1264770
50,,De 100 a 249,4679023,4308843,4411820,2086059,4172305,2086246
51,,De 250 a 499,3955867,3670170,4056111,1688737,3793310,2104572
52,,Com 500 e mais,23906101,21988378,22184314,11237027,21448159,10211132
53,42.9,"Construção de outras obras de
infraestrutura",27103462,24936176,27183345,12335834,25425529,13089698
54,,De   5 a 29,2417309,2238066,2408766,829617,2308621,1479004
55,,De  30 a 49,1701572,1562311,1654396,691614,1581361,889747
56,,De  50 a 99,2530585,2314058,2504452,1210535,2340450,1129916
57,,De 100 a 249,3536871,3239595,3449064,1549702,3168312,1618610
58,,De 250 a 499,3135626,2890117,3142105,1401369,2954691,1553323
59,,Com 500 e mais,13781499,12692029,14024562,6652997,13072094,6419098
60,43,"Serviços especializados para
construção",61834303,55931337,61045448,21143475,56942796,35799319
61,,De   5 a 29,20378298,18477913,19838290,5897155,18640792,12743637
62,,De  30 a 49,6348325,5736905,6251588,2183534,5908463,3724929
63,,De  50 a 99,8270985,7536116,8257373,2991935,7814467,4822533
64,,De 100 a 249,9788852,8912332,9845673,3730069,9185527,5455457
65,,De 250 a 499,5263691,4747671,5107680,1906961,4742188,2835226
66,,Com 500 e mais,11784152,10520400,11744844,4433821,10651359,6217537
67,43.1,Demolição e preparação do terreno,11470989,10490061,11312546,4785058,10663615,5878557
68,,De   5 a 29,3126298,2867520,3037343,1185163,2954706,1769544
69,,De  30 a 49,1408246,1289993,1399157,584478,1348628,764149
70,,De  50 a 99,1514424,1401410,1509531,575733,1418850,843118
71,,De 100 a 249,2438617,2238950,2371521,1034995,2199060,1164064
72,,De 250 a 499,1035581,951578,1033526,494610,952636,458026
73,,Com 500 e mais,1947823,1740610,1961468,910079,1789735,879656
74,43.2,"Instalações elétricas, hidráulicas e
outras instalações em construções",22521093,20084005,21927375,7281818,20270726,12988907
75,,De   5 a 29,6244286,5591032,6078907,1676535,5690842,4014307
76,,De  30 a 49,1946039,1736471,1805586,609738,1723616,1113879
77,,De  50 a 99,2718470,2450119,2577407,891139,2437743,1546604
78,,De 100 a 249,2912997,2619188,2870058,996052,2639301,1643249
79,,De 250 a 499,1969117,1745556,1868392,647475,1732654,1085178
80,,Com 500 e mais,6730184,5941639,6727025,2460879,6046570,3585690
81,43.3,Obras de acabamento,7876286,7141679,7898877,1962118,7295714,5333595
82,,De   5 a 29,4272231,3870758,4268068,899938,3883397,2983458
83,,De  30 a 49,893692,802742,880266,211262,815176,603914
84,,De  50 a 99,1145760,1029046,1248709,412108,1203461,791353
85,,De 100 a 249,707498,643789,695544,185470,642933,457463
86,,De 250 a 499,319730,296758,285187,80822,268294,187472
87,,Com 500 e mais,537375,498586,521103,172518,482453,309935
88,43.9,"Outros serviços especializados
para construção",19965935,18215592,19906650,7114481,18712741,11598260
89,,De   5 a 29,6735483,6148603,6453972,2135519,6111847,3976328
90,,De  30 a 49,2100348,1907699,2166579,778056,2021043,1242987
91,,De  50 a 99,2892331,2655541,2921726,1112955,2754413,1641458
92,,De 100 a 249,3729740,3410405,3908550,1513552,3704233,2190681
93,,De 250 a 499,1939263,1753779,1920575,684054,1788604,1104550
94,,Com 500 e mais,2568770,2339565,2535248,890345,2332601,1442256
